libproxy 0.4.17-3
libpsl 0.21.1-1
libpulse 15.0-1
libraqm 0.7.2-2
libraw1394 2.1.2-3
librsvg 2:2.52.4-1
libsamplerate 0.2.2-1
libsasl 2.1.27-3
libseccomp 2.5.3-1
libsecret 0.20.4-1
libshout 1:2.4.5-1
libsidplay 1.36.59-10
libsidplayfp 2.3.1-1
libsigc++ 2.10.7-2
libsm 1.2.3-2
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.74.2-1
libsoup3 3.0.3-1
libsoxr 0.1.3-2
libsrtp 1:2.4.2-1
libssh 0.9.6-1
libssh2 1.10.0-1
libstemmer 2.2.0-1
libtar 1.2.20-6
libtasn1 4.18.0-1
libteam 1.31-3
libtermkey 0.22-2
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtool 2.4.6+42+gb88cebd5-16
libudev0-shim 1-4
libuiohook 1.0.3-5
libunistring 0.9.10-3
libunrar 1:6.1.2-1
libunwind 1.5.0-1
libupnp 1.14.12-2
liburcu 0.13.0-1
liburing 2.1-1
libusb 1.0.24-2
libutempter 1.2.1-1
libutf8proc 2.6.1-1
libuv 1.42.0-1
libva 2.13.0-1
libva-utils 2.13.0-1
libvdpau 1.4-1
libvisual 0.4.0-8
libvorbis 1.3.7-2
libvpx 1.11.0-1
libvterm 0.1.3.git1.65dbda-1
libwacom 1.12-1
libwebp 1.2.1-2
libwmf 0.2.12-2
libwpe 1.12.0-1
libx11 1.7.2-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.26-1
libxcursor 1.2.0-2
libxcvt 0.1.1-1
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.3.1-1
libxkbcommon-x11 1.3.1-1
libxkbfile 1.1.0-2
libxml2 2.9.12-3
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-6
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2266+eb6e7bb6-1
licenses 20200427-1
lilv 0.24.12-2
linux 5.15.5.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20211027.1d00989-1
linux-headers 5.15.7.arch1-1
llvm-libs 13.0.0-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lolcat 100.0.1-1
lsb-release 1.4-18
lsof 4.94.0-1
lua 5.4.3-1
lua52 5.2.4-5
lua53 5.3.6-1
luajit 2.0.5-3
lv2 1.18.2-1
lvm2 2.03.14-1
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
maim 5.7.4-2
make 4.3-3
man-db 2.9.4-2
mathjax 3.2.0-1
mathpix-snipping-tool 03.00.0074-1
mbedtls 2.27.0-1
md4c 0.4.8-1
mdadm 4.1-2
mesa 21.2.5-1
mesa-demos 8.4.0-4
metis 5.1.0.p10-2
minetest-common 5.4.1-1
mingw-w64-binutils 2.36.1-1
mingw-w64-crt 9.0.0-1
mingw-w64-gcc 11.2.0-1
mingw-w64-headers 9.0.0-2
mingw-w64-winpthreads 9.0.0-1
minizip 1:1.2.11-4
mjpegtools 2.2.1-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mobile-broadband-provider-info 20210805-1
moc 1:2.5.2-3
mocicon 0.1.4-8
mpc 0.34-1
mpd 0.23.5-1
mpdris2 0.9.1-1
mpfr 4.1.0.p13-1
mpg123 1.29.2-1
mpv 1:0.34.0-2
msgpack-c 4.0.0-1
mtdev 1.1.6-1
mtools 1:4.0.36-1
mujs 1.1.3-1
ncmpcpp 0.9.2-5
ncurses 6.3-1
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.32.1-1
neovim 0.6.0-1
netpbm 10.73.36-1
nettle 3.7.3-1
networkmanager 1.32.12-1
networkmanager-dmenu-git r144.923fd59-1
nmap 7.92-1
node-gyp 8.2.0-1
nodejs 17.1.0-3
nodejs-nopt 5.0.0-2
notion-app 2.0.16-14
noto-fonts 20201226-2
npm 8.1.3-1
npth 1.6-3
nspr 4.32-1
nss 3.72-2
ntfs-3g 2021.8.22-1
nvidia 495.44-13
nvidia-prime 1.0-4
nvidia-utils 495.44-6
nvtop 1.2.2-1
obs-plugin-input-overlay-bin 4.8-1
obs-studio 27.1.3-1
openal 1.21.1-2
openblas 0.3.18-1
opencl-nvidia 495.44-6
opencore-amr 0.1.5-5
openexr 3.1.3-1
openjpeg2 2.4.0-1
openlibm 0.8.0-1
openmpi 4.1.2-1
openssh 8.8p1-1
openssl 1.1.1.l-1
openssl-1.0 1.0.2.u-1
optipng 0.7.7-2
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.79-1
p11-kit 0.24.0-2
p7zip 1:17.04-3
pacman 6.0.1-2
pacman-contrib 1.4.0-4
pacman-mirrorlist 20211114-1
pacutils 0.11.1-1
pahole 1.22-1
pam 1.5.2-1
pambase 20211111-1
pango 1:1.48.10-1
pangomm 2.46.1-2
parted 3.4-2
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.39-1
pcsclite 1.9.4-1
perl 5.34.0-2
perl-clone 0.45-3
perl-data-dump 1.25-1
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.12-1
perl-http-date 6.05-4
perl-http-message 6.33-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-io-socket-ssl 2.072-1
perl-json 4.03-1
perl-libwww 6.57-1
perl-log-message 0.08-7
perl-log-message-simple 0.10-7
perl-lwp-mediatypes 6.02-9
perl-lwp-protocol-https 6.10-2
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-net-ssleay 1.90-2
perl-term-readline-gnu 1.42-1
perl-term-ui 0.50-1
perl-timedate 2.33-3
perl-try-tiny 0.31-1
perl-uri 5.10-1
perl-www-robotrules 6.02-9
picom 8.2-1
pinentry 1.2.0-1
pipewire 1:0.3.40-1
pixman 0.40.0-1
pkgconf 1.8.0-1
podofo 0.9.7-1
polkit 0.120-2
polybar 3.5.7-1
poppler 21.11.0-1
popt 1.18-1
portaudio 1:19.7.0-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
python 3.9.7-2
python-anytree 2.8.0-3
python-appdirs 1.4.4-3
python-apsw 3.36.0-1
python-beautifulsoup4 4.9.3-4
python-brotlicffi 1.0.9.2-1
python-cachecontrol 0.12.6-5
python-cairo 1.20.1-1
python-cchardet 2.1.7-2
python-cffi 1.14.6-2
python-chardet 4.0.0-2
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 35.0.0-1
python-css-parser 1.0.6-3
python-cssselect 1.1.0-7
python-dateutil 2.8.2-2
python-distlib 0.3.3-1
python-distro 1.6.0-1
python-dnspython 1:2.1.0-1
python-feedparser 6.0.1-2
python-gobject 3.42.0-1
python-html2text 2020.1.16-3
python-html5-parser 0.4.10-1
python-html5lib 1.1-8
python-idna 3.3-1
python-ifaddr 0.1.7-3
python-importlib-metadata 4.8.1-1
python-jeepney 0.7.1-1
python-lxml 4.6.4-1
python-markdown 3.3.6-1
python-mechanize 1:0.4.6-1
python-more-itertools 8.10.0-1
python-mpd2 3.0.4-3
python-msgpack 1.0.2-2
python-multivolumefile 0.2.3-1
python-netifaces 0.11.0-1
python-ordered-set 4.0.2-3
python-packaging 20.9-2
python-pep517 0.11.0-1
python-pillow 8.4.0-1
python-pip 20.3.4-1
python-ply 3.11-7
python-progress 1.6-1
python-psutil 5.8.0-1
python-py7zr 0.16.2-1
python-pychm 0.8.6-4
python-pycparser 2.20-3
python-pycryptodome 3.11.0-1
python-pycryptodomex 3.10.1-1
python-pygments 2.10.0-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyppmd 0.17.1-1
python-pyqt5 5.15.6-2
python-pyqt5-sip 12.9.0-1
python-pyqt5-webengine 5.15.5-1
python-pyzstd 0.15.0-1
python-regex 2021.11.10-1
python-requests 2.26.0-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-setuptools 1:57.4.0-2
python-sgmllib3k 1.0.0-2
python-six 1.16.0-1
python-soupsieve 2.2.1-2
python-texttable 1.6.4-1
python-toml 0.10.2-3
python-tomli 1.2.2-1
python-unrardll 0.1.4-5
python-urllib3 1.26.7-1
python-webencodings 0.5.1-6
python-zeroconf 0.36.11-1
python-zipp 3.6.0-1
python2 2.7.18-5
pywal-git 3.3.0.r134.g236aa48-1
qscintilla-qt5 2.13.1-1
qt5-base 5.15.2+kde+r260-1
qt5-declarative 5.15.2+kde+r41-1
qt5-imageformats 5.15.2-1
qt5-location 5.15.2-4
qt5-svg 5.15.2+kde+r13-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.7-2
qt5-x11extras 5.15.2-1
raptor 2.0.15-17
rav1e 0.4.1-1
rbenv 1.1.2-1
rdesktop 1.9.0-2
re2 1:20211101-1
readline 8.1.001-1
remmina 1:1.4.21-1
rest 0.8.1-3
rhash 1.4.2-1
rmlint 2.10.1-2
rofi 1.7.0-1
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 2.0.0-1
ruby 3.0.3-1
ruby-diff-lcs 1.4.4-2
ruby-irb 1.3.6-1
ruby-manpages 0.6.1-4
ruby-optimist 3.0.1-2
ruby-paint 2.2.1-2
ruby-rainbow 3.0.0-6
ruby-rdoc 6.3.1-1
ruby-reline 0.2.5-1
ruby-rspec 3.10.0-1
ruby-rspec-core 3.10.1-1
ruby-rspec-expectations 3.10.1-1
ruby-rspec-mocks 3.10.2-1
ruby-rspec-support 3.10.2-1
ruby-term-ansicolor 1.7.1-2
ruby-tins 1.26.0-2
rubygems 3.2.29-1
run-parts 5.5-1
runc 1.0.2-2
rvm 1.29.12-1
sbc 1.5-2
sdl 1.2.15+387+gfbfcca32-1
sdl2 2.0.16-4
sdl_image 1.2.12-7
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shaderc 2021.2-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
simplescreenrecorder 0.4.3-1
slang 2.3.2-2
slock 1.4-5
slop 7.5-6
smbclient 4.15.3-2
snappy 1.1.9-2
sndio 1.8.1-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-1
spandsp 0.0.6-3
speedtest-cli 2.1.3-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.3-1
sqlite 3.36.0-1
squashfs-tools 4.5-1
sratom 0.6.8-3
srt 1.4.4-1
startup-notification 0.12-7
steam 1.0.0.73-1
sudo 1.9.8.p2-3
suitesparse 5.10.1-2
svt-av1 0.8.7-1
svt-hevc 1.5.1-1
sxiv 26-1
sysfsutils 2.1.1-1
systemd 249.7-1
systemd-libs 249.7-1
systemd-sysvcompat 249.7-1
taglib 1.12-1
talloc 2.3.3-3
tar 1.34-1
tdb 1.4.5-1
teams 1.4.00.26453-1
tepl 6.00.0-3
tevent 1:0.11.0-3
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
tmux 3.2_a-1
tracker3 3.2.1-2
tree-sitter 0.20.1-1
